row_key,timestamp
stermere merging with Calgary|full_corpus,2026-05-10T09:00:29.266851
EBC-2025-1-0081|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:01:04.757188
EBC-2025-1-0082|Airdrie 4-way split|full_corpus,2026-05-10T09:01:49.962342
EBC-2025-1-0082|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:02:22.582719
"EBC-2025-1-0082|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:03:03.125161
EBC-2025-1-0082|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:03:58.382802
EBC-2025-1-0102|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:04:44.619232
EBC-2025-1-0051|Chestermere merging with Calgary|full_corpus,2026-05-10T09:07:33.864341
EBC-2025-1-0081|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:08:24.392901
EBC-2025-1-0082|Airdrie 4-way split|full_corpus,2026-05-10T09:09:10.519848
EBC-2025-1-0082|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:10:07.527779
EBC-2025-1-0051|Chestermere merging with Calgary|full_corpus,2026-05-10T09:10:39.269701
"EBC-2025-1-0082|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:10:55.403918
EBC-2025-1-0081|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:11:09.673017
EBC-2025-1-0082|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:11:23.008288
EBC-2025-1-0082|Airdrie 4-way split|full_corpus,2026-05-10T09:11:54.577924
EBC-2025-1-0102|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:12:01.332571
EBC-2025-1-0106|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:12:28.925658
EBC-2025-1-0082|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:12:33.809436
EBC-2025-1-0110|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:12:46.574670
"EBC-2025-1-0082|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:12:57.211398
EBC-2025-1-0110|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:13:15.575317
EBC-2025-1-0082|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:13:19.016795
EBC-2025-1-0125|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:13:38.690581
EBC-2025-1-0102|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:13:40.257760
EBC-2025-1-0106|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:13:59.998742
EBC-2025-1-0133|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:14:03.558033
EBC-2025-1-0110|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:14:24.663221
EBC-2025-1-0134|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:14:32.215551
EBC-2025-1-0110|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:14:52.167811
EBC-2025-1-0137|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:14:52.586462
EBC-2025-1-0125|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:15:14.145342
EBC-2025-1-0138|Airdrie 4-way split|full_corpus,2026-05-10T09:15:14.767386
"EBC-2025-1-0138|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:15:40.087647
EBC-2025-1-0133|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:15:40.280751
EBC-2025-1-0138|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:16:13.685792
EBC-2025-1-0134|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:16:14.042587
EBC-2025-1-0139|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:16:35.799555
EBC-2025-1-0137|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:16:46.499229
EBC-2025-1-0152|Airdrie 4-way split|full_corpus,2026-05-10T09:17:06.138347
EBC-2025-1-0138|Airdrie 4-way split|full_corpus,2026-05-10T09:17:20.998899
